origin_no	sort_id	token	number	frequency
2767	6226	approval	104845	2.308e-05
2966	5933	hunting	104834	2.307e-05
2742	6366	remove	104828	2.307e-05
3100	14085	nat	104822	2.307e-05
660	5883	rifle	104779	2.306e-05
3124	5483	greece	104726	2.305e-05
3702	9626	##oma	104726	2.305e-05
3254	8445	##art	104715	2.305e-05
2602	8554	poll	104706	2.305e-05
3069	6140	print	104695	2.304e-05
2550	6186	protest	104664	2.304e-05
3174	6083	suggests	104655	2.304e-05
4038	5513	shaking	104642	2.303e-05
3057	5867	##gate	104599	2.302e-05
3120	7629	##tin	104595	2.302e-05
3656	11335	##rra	104595	2.302e-05
4507	9096	##zy	104573	2.302e-05
2848	6091	nervous	104555	2.301e-05
3193	5207	jordan	104446	2.299e-05
3559	5277	diego	104419	2.298e-05
3355	6101	assault	104395	2.298e-05
3184	6034	extreme	104388	2.298e-05
3190	6070	88	104372	2.297e-05
4195	6687	parent	104310	2.296e-05
3470	5780	coastal	104275	2.295e-05
2191	27788	rein	104256	2.295e-05
2541	5989	97	104239	2.294e-05
3178	5505	breathing	104190	2.293e-05
2999	6168	whereas	104189	2.293e-05
3684	5550	17th	104171	2.293e-05
3383	5885	premiered	104166	2.293e-05
2965	6074	agents	104154	2.293e-05
2532	6353	69	104108	2.292e-05
3270	6037	appearing	104088	2.291e-05
3338	6382	karl	104086	2.291e-05
2959	9253	neo	104083	2.291e-05
3097	7177	wealth	104037	2.290e-05
3032	7344	alien	104010	2.289e-05
3236	6516	hence	103999	2.289e-05
3795	7178	##ved	103941	2.288e-05
2745	5829	moves	103882	2.287e-05
2960	11431	##av	103820	2.285e-05
3075	5980	dick	103818	2.285e-05
3319	8494	mud	103807	2.285e-05
3685	5785	rice	103790	2.285e-05
3324	6065	loose	103746	2.284e-05
3119	5899	austin	103644	2.281e-05
2642	20710	ras	103607	2.280e-05
2867	2955	vocals	103571	2.280e-05
2962	5420	##ney	103547	2.279e-05
3179	9910	##ree	103537	2.279e-05
3631	5995	depth	103521	2.279e-05
3366	6081	plastic	103518	2.279e-05
3159	6994	tool	103432	2.277e-05
3188	5880	##water	103417	2.276e-05
5766	5826	partners	103408	2.276e-05
3444	6397	blind	103385	2.276e-05
3375	5406	frederick	103384	2.276e-05
2789	8943	##nda	103366	2.275e-05
3421	12168	prophet	103219	2.272e-05
2051	5584	physics	103189	2.271e-05
3197	6077	dogs	103159	2.271e-05
3303	5792	collaboration	103107	2.269e-05
3382	5613	dancing	103106	2.269e-05
3482	6381	liquid	103075	2.269e-05
3665	12273	##nc	103051	2.268e-05
3070	15578	obe	103029	2.268e-05
2518	5884	domain	102980	2.267e-05
3250	5766	ceo	102948	2.266e-05
3085	7898	##hs	102946	2.266e-05
3362	5889	actors	102927	2.266e-05
3323	6115	accounts	102923	2.265e-05
3064	13097	gil	102898	2.265e-05
6612	6171	deeply	102898	2.265e-05
3220	5854	restored	102841	2.264e-05
2995	5991	blocks	102793	2.263e-05
3135	5973	anywhere	102637	2.259e-05
3150	7811	##lon	102625	2.259e-05
2925	5453	productions	102611	2.259e-05
3962	10376	##aw	102564	2.258e-05
3989	6043	policies	102558	2.257e-05
3253	6075	frequency	102554	2.257e-05
4839	5813	resolution	102551	2.257e-05
3221	17917	sv	102550	2.257e-05
3346	9648	##ade	102549	2.257e-05
3109	5823	crash	102532	2.257e-05
2935	5926	kick	102520	2.257e-05
3007	8298	consciousness	102519	2.257e-05
3234	5124	1913	102501	2.256e-05
4337	5530	pages	102484	2.256e-05
3170	5981	debate	102419	2.254e-05
3036	17235	nas	102296	2.252e-05
3160	6086	exposed	102290	2.251e-05
2853	6827	essential	102273	2.251e-05
3048	11687	pad	102252	2.251e-05
3217	5964	eighth	102126	2.248e-05
3425	12385	carr	102099	2.247e-05
1818	8551	##ord	102089	2.247e-05
884	5847	routes	102078	2.247e-05
3260	6129	##cing	102072	2.247e-05
3281	5538	borough	102066	2.247e-05
2915	6258	vessel	102051	2.246e-05
1901	6234	immediate	102043	2.246e-05
3381	5184	1911	102012	2.245e-05
4016	5822	gardens	101953	2.244e-05
3166	6564	86	101910	2.243e-05
3536	5781	medieval	101883	2.243e-05
2104	6251	sentence	101871	2.242e-05
3286	7405	##cia	101828	2.241e-05
3466	6445	82	101773	2.240e-05
3009	6847	bench	101688	2.238e-05
2939	12277	shin	101677	2.238e-05
3259	6992	villa	101666	2.238e-05
2232	6134	schedule	101640	2.237e-05
4291	6658	slave	101604	2.236e-05
1693	7276	select	101578	2.236e-05
3051	10380	vale	101565	2.236e-05
3180	10993	##iz	101544	2.235e-05
3017	11961	##hir	101521	2.235e-05
3084	5663	commonwealth	101476	2.234e-05
3360	20010	det	101474	2.234e-05
3304	11928	kai	101469	2.233e-05
3407	6363	dollars	101466	2.233e-05
2773	8135	christians	101415	2.232e-05
2410	5203	douglas	101413	2.232e-05
4608	6916	##tti	101352	2.231e-05
3404	6832	emotional	101340	2.231e-05
3446	6165	rates	101309	2.230e-05
3138	5994	involving	101290	2.229e-05
2826	10606	##hin	101278	2.229e-05
3385	6017	marks	101263	2.229e-05
3399	23760	hyper	101224	2.228e-05
4427	6260	bent	101217	2.228e-05
1900	5721	counties	101205	2.228e-05
2784	7373	##rie	101145	2.226e-05
3012	6085	blade	101138	2.226e-05
2956	5967	adapted	101118	2.226e-05
4063	9436	rid	101065	2.225e-05
3052	6206	illegal	101061	2.224e-05
3732	5908	divisions	101022	2.224e-05
3290	6018	artistic	101020	2.224e-05
4515	5861	grin	101018	2.223e-05
2874	6016	sending	101004	2.223e-05
3200	8095	##all	100959	2.222e-05
3494	5902	admiral	100956	2.222e-05
3411	5736	kate	100921	2.221e-05
2695	6137	##ii	100887	2.221e-05
2831	29454	dil	100886	2.221e-05
4248	6012	beating	100862	2.220e-05
3113	5742	swimming	100844	2.220e-05
1827	5870	laughing	100761	2.218e-05
2613	6413	appropriate	100705	2.217e-05
3859	6233	increasingly	100660	2.216e-05
3546	6051	acted	100657	2.216e-05
3359	5748	operates	100642	2.215e-05
3265	23408	ev	100641	2.215e-05
3645	6330	helen	100641	2.215e-05
3389	6365	94	100599	2.214e-05
3146	8239	fucking	100589	2.214e-05
3424	5882	speaker	100573	2.214e-05
2816	5911	laboratory	100453	2.211e-05
3632	12997	ip	100421	2.210e-05
3208	6336	lift	100389	2.210e-05
3205	14511	##oll	100367	2.209e-05
4212	6360	gradually	100360	2.209e-05
3890	5996	dying	100278	2.207e-05
3478	5539	250	100253	2.207e-05
2508	6394	nazi	100209	2.206e-05
2921	10507	cc	100204	2.206e-05
2362	5384	trophy	100189	2.205e-05
3430	6118	strongly	100180	2.205e-05
3059	5612	kentucky	100161	2.205e-05
3535	6562	##ming	100083	2.203e-05
3481	6529	scientists	100064	2.202e-05
2461	6056	coalition	100041	2.202e-05
3551	6127	gabriel	100040	2.202e-05
3104	6225	honour	99920	2.199e-05
3309	6356	74	99915	2.199e-05
1554	6210	definition	99915	2.199e-05
3439	5821	marketing	99905	2.199e-05
937	8754	cult	99884	2.199e-05
3269	6006	debuted	99872	2.198e-05
3214	25292	vis	99769	2.196e-05
4430	6095	ownership	99765	2.196e-05
3073	5830	cable	99722	2.195e-05
3802	19966	##ust	99721	2.195e-05
3531	13843	tai	99718	2.195e-05
3542	6098	appointment	99700	2.194e-05
3218	5970	surgery	99693	2.194e-05
2906	4732	elementary	99682	2.194e-05
2942	6550	relationships	99602	2.192e-05
3165	21368	tal	99572	2.192e-05
1888	18499	por	99471	2.189e-05
4059	6391	84	99463	2.189e-05
3320	6594	discussion	99413	2.188e-05
3369	6158	traveled	99391	2.188e-05
3428	6486	89	99373	2.187e-05
2958	6375	uniform	99309	2.186e-05
3000	5631	miami	99293	2.186e-05
4402	6548	devil	99293	2.186e-05
2703	6947	proof	99271	2.185e-05
3154	6109	93	99232	2.184e-05
3233	7066	##ians	99229	2.184e-05
3408	6025	retained	99207	2.184e-05
3388	5597	mathematics	99139	2.182e-05
3249	6194	processes	99126	2.182e-05
3539	6447	##ities	99123	2.182e-05
2819	5232	walker	99089	2.181e-05
3326	23736	##bri	99080	2.181e-05
2218	6304	customers	99069	2.181e-05
3420	17183	dem	99021	2.180e-05
3125	5848	talent	98930	2.178e-05
1944	5276	painter	98904	2.177e-05
2937	5543	economics	98893	2.177e-05
3956	17643	##gra	98807	2.175e-05
3144	6327	external	98744	2.173e-05
3487	14122	##ost	98744	2.173e-05
3397	13626	##dr	98731	2.173e-05
3364	5693	instruments	98677	2.172e-05
3352	6248	naked	98667	2.172e-05
3406	17266	sac	98608	2.170e-05
3401	6409	losses	98591	2.170e-05
3335	6176	careful	98584	2.170e-05
3264	5972	masters	98580	2.170e-05
3049	6581	excellent	98570	2.170e-05
2749	6284	indigenous	98566	2.170e-05
3293	5857	contributions	98557	2.169e-05
1372	5316	1908	98451	2.167e-05
4321	8273	abu	98438	2.167e-05
3367	6656	permission	98430	2.167e-05
3147	9345	eva	98402	2.166e-05
4487	5952	charity	98359	2.165e-05
3600	5569	czech	98355	2.165e-05
3549	5455	musician	98351	2.165e-05
3550	5548	montreal	98333	2.164e-05
4327	24188	cher	98269	2.163e-05
2245	5464	ranking	98168	2.161e-05
1852	6438	absence	98157	2.161e-05
3450	6735	luck	98079	2.159e-05
3573	20116	cs	98076	2.159e-05
2492	6295	meetings	98074	2.159e-05
18716	6002	novels	98063	2.158e-05
2807	6709	identify	98061	2.158e-05
3975	6028	technique	98050	2.158e-05
3282	6147	roots	98047	2.158e-05
255	6535	79	98022	2.158e-05
3490	6107	employment	98017	2.157e-05
3310	7222	pine	98004	2.157e-05
3452	6869	respond	98000	2.157e-05
3564	6023	shopping	97986	2.157e-05
3187	6699	emotions	97933	2.156e-05
4318	6205	91	97903	2.155e-05
3741	6084	gulf	97876	2.154e-05
5551	6640	83	97675	2.150e-05
2072	6414	merely	97668	2.150e-05
3662	7148	raf	97652	2.149e-05
2828	6329	franchise	97631	2.149e-05
1907	11246	##sel	97628	2.149e-05
3341	5988	cinema	97625	2.149e-05
3201	10346	fin	97622	2.149e-05
3493	5820	moth	97583	2.148e-05
3582	5443	vs	97500	2.146e-05
3267	12954	mum	97488	2.146e-05
3973	6625	comfortable	97432	2.145e-05
3518	5765	harvard	97419	2.144e-05
3102	16913	mod	97390	2.144e-05
3334	7191	moral	97351	2.143e-05
3991	7432	##ock	97333	2.142e-05
3757	6041	alabama	97236	2.140e-05
3361	6007	shoes	97225	2.140e-05
3212	5971	corporate	97220	2.140e-05
3155	6057	funny	97203	2.140e-05
4162	6403	basin	97192	2.139e-05
3266	6135	totally	97149	2.138e-05
3925	6567	decisions	97145	2.138e-05
3371	6386	stones	97100	2.137e-05
3504	6092	electoral	97068	2.137e-05
4453	6172	adventure	97064	2.136e-05
3435	5429	shifted	97050	2.136e-05
3111	12495	emi	97025	2.136e-05
3433	6164	exit	97019	2.135e-05
2596	6242	boats	97001	2.135e-05
3183	6180	personality	96985	2.135e-05
2983	6337	profile	96939	2.134e-05
5009	5913	fantasy	96938	2.134e-05
3332	5814	manufacturing	96921	2.133e-05
4467	11636	##ox	96920	2.133e-05
1275	5918	requirements	96914	2.133e-05
4534	11368	##met	96909	2.133e-05
2973	7442	##ire	96899	2.133e-05
3965	5695	danish	96897	2.133e-05
3492	13955	mara	96891	2.133e-05
828	19362	##par	96867	2.132e-05
3770	8833	log	96858	2.132e-05
